,ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
47,32790100020019,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0019,RT 019 RW 010 DUSUN WARUNGBUAH
48,32790100020020,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0020,RT 020 RW 010 DUSUN WARUNGBUAH
49,32790100020021,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0021,RT 022 RW 011 DUSUN WARUNGBUAH
50,32790100020022,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0022,RT 023 RW 011 DUSUN WARUNGBUAH
51,32790100020023,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0023,RT 024 RW 012 DUSUN WARUNGBUAH
52,32790100020024,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0024,RT 025 RW 012 DUSUN WARUNGBUAH
53,32790100020025,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0025,RT 021 RW 013 DUSUN WARUNGBUAH
54,32790100020026,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0026,RT 026 RW 013 DUSUN WARUNGBUAH
55,32790100020027,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0027,RT 028 RW 014 DUSUN WARUNGBUAH
56,32790100020028,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0028,RT 029 RW 014 DUSUN WARUNGBUAH
57,32790100020029,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0029,RT 027 RW 015 DUSUN WARUNGBUAH
58,32790100020030,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0030,RT 030 RW 015 DUSUN WARUNGBUAH
59,32790100020031,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0031,RT 031 RW 016 DUSUN WARUNGBUAH
60,32790100020032,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0032,RT 032 RW 016 DUSUN WARUNGBUAH
61,32790100020033,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0033,RT 033 RW 017 DUSUN
62,32790100020034,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0034,RT 034 RW 017 DUSUN
63,32790100020035,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0035,RT 035 RW 017 DUSUN
64,32790100020036,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0036,RT 036 RW 018 DUSUN
65,32790100020037,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0037,RT 037 RW 018 DUSUN
66,32790100020038,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0038,RT 038 RW 018 DUSUN
67,32790100021001,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,1001,SAWAH
68,32790100022002,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,2002,KEBUN
69,32790100030001,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0001,RT 001 RW 001 DUSUN
70,32790100030002,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0002,RT 002 RW 001 DUSUN
71,32790100030003,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0003,RT 003 RW 001 DUSUN
72,32790100030004,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0004,RT 004 RW 001 DUSUN
73,32790100030005,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0005,RT 005 RW 001 DUSUN
74,32790100030006,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0006,RT 006 RW 002 DUSUN BABAKAN
75,32790100030007,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0007,RT 007 RW 002 DUSUN BABAKAN
76,32790100030008,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0008,RT 008 RW 002 DUSUN BABAKAN
77,32790100030009,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0009,RT 009 RW 002 DUSUN BABAKAN
78,32790100030010,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0010,RT 010 RW 002 DUSUN BABAKAN
79,32790100030011,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0011,RT 011 RW 003 DUSUN PASIRNAGARA
80,32790100030012,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0012,RT 012 RW 003 DUSUN PASIRNAGARA
81,32790100030013,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0013,RT 013 RW 003 DUSUN PASIRNAGARA
82,32790100030014,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0014,RT 014 RW 003 DUSUN PASIRNAGARA
83,32790100030015,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0015,RT 015 RW 003 DUSUN PASIRNAGARA
84,32790100030016,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0016,RT 016 RW 004 DUSUN
85,32790100030017,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0017,RT 017 RW 004 DUSUN
86,32790100030018,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0018,RT 018 RW 004 DUSUN
87,32790100030019,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0019,RT 019 RW 004 DUSUN
88,32790100030020,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0020,RT 020 RW 005 DUSUN
89,32790100030021,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0021,RT 021 RW 005 DUSUN
90,32790100030022,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0022,RT 022 RW 005 DUSUN
91,32790100030023,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0023,RT 023 RW 005 DUSUN
92,32790100040001,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0001,RT 001 RW 001 DUSUN
93,32790100040002,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0002,RT 002 RW 001 DUSUN
94,32790100040003,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0003,RT 003 RW 001 DUSUN
95,32790100040004,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0004,RT 004 RW 002 DUSUN
96,32790100040005,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0005,RT 005 RW 002 DUSUN
97,32790100040006,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0006,RT 052 RW 002 DUSUN
98,32790100040007,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0007,RT 006 RW 002 DUSUN
99,32790100040008,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0008,RT 007 RW 003 DUSUN
100,32790100040009,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0009,RT 008 RW 003 DUSUN
101,32790100040010,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0010,RT 042 RW 003 DUSUN
102,32790100040011,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0011,RT 009 RW 004 DUSUN PARUNG
103,32790100040012,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0012,RT 010 RW 004 DUSUN PARUNG
104,32790100040013,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0013,RT 011 RW 004 DUSUN PARUNG
105,32790100040014,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0014,RT 041 RW 004 DUSUN PARUNG
106,32790100040015,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0015,RT 051 RW 004 DUSUN PARUNG
107,32790100040016,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0016,RT 012 RW 005 DUSUN PARUNG
108,32790100040017,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0017,RT 013 RW 005 DUSUN PARUNG
109,32790100040018,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0018,RT 014 RW 005 DUSUN PARUNG
110,32790100040019,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0019,RT 015 RW 006 DUSUN GARDU
111,32790100040020,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0020,RT 016 RW 006 DUSUN GARDU
112,32790100040021,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0021,RT 017 RW 006 DUSUN GARDU
113,32790100040022,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0022,RT 018 RW 006 DUSUN GARDU
114,32790100040023,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0023,RT 019 RW 006 DUSUN GARDU
115,32790100040024,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0024,RT 020 RW 007 DUSUN GARDU
116,32790100040025,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0025,RT 021 RW 007 DUSUN GARDU
117,32790100040026,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0026,RT 022 RW 008 DUSUN KARANGTENGAH
118,32790100040027,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0027,RT 023 RW 008 DUSUN KARANGTENGAH
119,32790100040028,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0028,RT 024 RW 008 DUSUN KARANGTENGAH
120,32790100040029,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0029,RT 025 RW 009 DUSUN KARANGTENGAH
121,32790100040030,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0030,RT 026 RW 009 DUSUN KARANGTENGAH
122,32790100040031,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0031,RT 027 RW 009 DUSUN KARANGTENGAH
123,32790100040032,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0032,RT 028 RW 010 DUSUN KARANGPUCUNG
124,32790100040033,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0033,RT 029 RW 010 DUSUN KARANGPUCUNG
125,32790100040034,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0034,RT 030 RW 010 DUSUN KARANGPUCUNG
126,32790100040035,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0035,RT 031 RW 010 DUSUN KARANGPUCUNG
127,32790100040036,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0036,RT 032 RW 011 DUSUN KARANGPUCUNG
128,32790100040037,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0037,RT 033 RW 011 DUSUN KARANGPUCUNG
129,32790100040038,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0038,RT 034 RW 011 DUSUN KARANGPUCUNG
130,32790100040039,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0039,RT 043 RW 011 DUSUN KARANGPUCUNG
131,32790100040040,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0040,RT 035 RW 012 DUSUN
132,32790100040041,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0041,RT 036 RW 012 DUSUN
133,32790100040042,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0042,RT 037 RW 012 DUSUN
134,32790100040043,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0043,RT 049 RW 012 DUSUN
135,32790100040044,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0044,RT 038 RW 013 DUSUN
136,32790100040045,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0045,RT 039 RW 013 DUSUN
137,32790100040046,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0046,RT 040 RW 013 DUSUN
138,32790100040047,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0047,RT 050 RW 013 DUSUN
139,32790100040048,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0048,RT 044 RW 014 DUSUN BALOKANG
140,32790100040049,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0049,RT 045 RW 014 DUSUN BALOKANG
