ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
3279010002001900    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0019,RT 019 RW 010 DUSUN WARUNGBUAH
3279010002002000    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0020,RT 020 RW 010 DUSUN WARUNGBUAH
3279010002002100    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0021,RT 022 RW 011 DUSUN WARUNGBUAH
3279010002002200    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0022,RT 023 RW 011 DUSUN WARUNGBUAH
3279010002002300    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0023,RT 024 RW 012 DUSUN WARUNGBUAH
3279010002002400    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0024,RT 025 RW 012 DUSUN WARUNGBUAH
3279010002002500    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0025,RT 021 RW 013 DUSUN WARUNGBUAH
3279010002002600    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0026,RT 026 RW 013 DUSUN WARUNGBUAH
3279010002002700    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0027,RT 028 RW 014 DUSUN WARUNGBUAH
3279010002002800    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0028,RT 029 RW 014 DUSUN WARUNGBUAH
3279010002002900    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0029,RT 027 RW 015 DUSUN WARUNGBUAH
3279010002003000    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0030,RT 030 RW 015 DUSUN WARUNGBUAH
3279010002003100    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0031,RT 031 RW 016 DUSUN WARUNGBUAH
3279010002003200    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0032,RT 032 RW 016 DUSUN WARUNGBUAH
3279010002003300    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0033,RT 033 RW 017 DUSUN
3279010002003400    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0034,RT 034 RW 017 DUSUN
3279010002003500    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0035,RT 035 RW 017 DUSUN
3279010002003600    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0036,RT 036 RW 018 DUSUN
3279010002003700    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0037,RT 037 RW 018 DUSUN
3279010002003800    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0038,RT 038 RW 018 DUSUN
3279010002100100    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,1001,SAWAH
3279010002200200    ,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,2002,KEBUN
3279010003000100    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0001,RT 001 RW 001 DUSUN
3279010003000200    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0002,RT 002 RW 001 DUSUN
3279010003000300    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0003,RT 003 RW 001 DUSUN
3279010003000400    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0004,RT 004 RW 001 DUSUN
3279010003000500    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0005,RT 005 RW 001 DUSUN
3279010003000600    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0006,RT 006 RW 002 DUSUN BABAKAN
3279010003000700    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0007,RT 007 RW 002 DUSUN BABAKAN
3279010003000800    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0008,RT 008 RW 002 DUSUN BABAKAN
3279010003000900    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0009,RT 009 RW 002 DUSUN BABAKAN
3279010003001000    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0010,RT 010 RW 002 DUSUN BABAKAN
3279010003001100    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0011,RT 011 RW 003 DUSUN PASIRNAGARA
3279010003001200    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0012,RT 012 RW 003 DUSUN PASIRNAGARA
3279010003001300    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0013,RT 013 RW 003 DUSUN PASIRNAGARA
3279010003001400    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0014,RT 014 RW 003 DUSUN PASIRNAGARA
3279010003001500    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0015,RT 015 RW 003 DUSUN PASIRNAGARA
3279010003001600    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0016,RT 016 RW 004 DUSUN
3279010003001700    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0017,RT 017 RW 004 DUSUN
3279010003001800    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0018,RT 018 RW 004 DUSUN
3279010003001900    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0019,RT 019 RW 004 DUSUN
3279010003002000    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0020,RT 020 RW 005 DUSUN
3279010003002100    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0021,RT 021 RW 005 DUSUN
3279010003002200    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0022,RT 022 RW 005 DUSUN
3279010003002300    ,3279010003,32,JAWA BARAT,79,BANJAR,010,BANJAR,003,CIBEUREUM,0023,RT 023 RW 005 DUSUN
3279010004000100    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0001,RT 001 RW 001 DUSUN
3279010004000200    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0002,RT 002 RW 001 DUSUN
3279010004000300    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0003,RT 003 RW 001 DUSUN
3279010004000400    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0004,RT 004 RW 002 DUSUN
3279010004000500    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0005,RT 005 RW 002 DUSUN
3279010004000600    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0006,RT 052 RW 002 DUSUN
3279010004000700    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0007,RT 006 RW 002 DUSUN
3279010004000800    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0008,RT 007 RW 003 DUSUN
3279010004000900    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0009,RT 008 RW 003 DUSUN
3279010004001000    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0010,RT 042 RW 003 DUSUN
3279010004001100    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0011,RT 009 RW 004 DUSUN PARUNG
3279010004001200    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0012,RT 010 RW 004 DUSUN PARUNG
3279010004001300    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0013,RT 011 RW 004 DUSUN PARUNG
3279010004001400    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0014,RT 041 RW 004 DUSUN PARUNG
3279010004001500    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0015,RT 051 RW 004 DUSUN PARUNG
3279010004001600    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0016,RT 012 RW 005 DUSUN PARUNG
3279010004001700    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0017,RT 013 RW 005 DUSUN PARUNG
3279010004001800    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0018,RT 014 RW 005 DUSUN PARUNG
3279010004001900    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0019,RT 015 RW 006 DUSUN GARDU
3279010004002000    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0020,RT 016 RW 006 DUSUN GARDU
3279010004002100    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0021,RT 017 RW 006 DUSUN GARDU
3279010004002200    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0022,RT 018 RW 006 DUSUN GARDU
3279010004002300    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0023,RT 019 RW 006 DUSUN GARDU
3279010004002400    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0024,RT 020 RW 007 DUSUN GARDU
3279010004002500    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0025,RT 021 RW 007 DUSUN GARDU
3279010004002600    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0026,RT 022 RW 008 DUSUN KARANGTENGAH
3279010004002700    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0027,RT 023 RW 008 DUSUN KARANGTENGAH
3279010004002800    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0028,RT 024 RW 008 DUSUN KARANGTENGAH
3279010004002900    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0029,RT 025 RW 009 DUSUN KARANGTENGAH
3279010004003000    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0030,RT 026 RW 009 DUSUN KARANGTENGAH
